Ball of foot m,Bridge m,Heel m,Calf m,Inner shin m,Outer shin m,acc x m,acc y m,acc z m,gyro x m,gyro y m,gyro z m,Ball of foot s,Bridge s,Heel s,Calf s,Inner shin s,Outer shin s,acc x s,acc y s,acc z s,gyro x s,gyro y s,gyro z s
449,510,509,507,453,368,-156,-136,-12,-2121,-1669,-287,513,511,499,464,455,507,-60,264,-24,392,2625,3748
387,510,509,508,418,419,-336,-328,200,-1119,-2318,1232,513,510,502,464,456,507,84,536,796,350,1357,2108
367,510,509,508,421,430,-204,-120,148,81,-1510,3695,513,511,501,457,462,507,104,952,112,2643,934,3818
371,509,509,507,421,426,-28,56,156,-722,-2068,2732,513,511,503,462,460,509,92,-212,-248,4272,1571,4752
377,510,509,507,429,430,-76,-112,32,-2017,-1617,2833,513,511,503,462,457,509,1068,-276,-72,2392,-1111,6127
412,510,509,508,424,432,-248,-172,-8,-1529,147,5271,513,508,501,462,461,508,-40,1212,224,5536,-1712,-3541
406,509,509,506,458,331,-328,-168,60,262,2926,13884,513,505,501,461,460,509,188,-72,-180,-1296,1109,-257
496,510,509,505,488,274,-776,-220,-192,-3347,4824,-8892,513,507,501,460,459,507,256,-76,60,650,1533,1601
459,510,509,509,427,330,-164,-12,4,-9501,-5950,-2731,513,507,500,458,464,508,468,32,40,4065,-2580,155
494,510,509,509,422,339,-232,-196,216,-1651,805,2740,513,508,502,456,462,507,188,124,32,2547,-2218,-26
455,510,509,509,415,337,-312,16,96,-1507,-317,3157,513,509,503,457,459,506,244,156,340,1238,428,1775
421,510,509,508,418,334,-432,-236,64,-2106,419,-738,513,509,502,457,463,507,76,8,-48,3304,-2050,3209
402,510,509,509,414,379,-336,-204,16,-2710,1916,1824,513,505,500,461,468,506,160,-48,56,9590,-2695,-1227
501,510,509,509,441,370,-28,-200,284,-888,2750,5092,513,505,501,464,471,506,116,328,228,3330,-3548,-1202
509,510,509,508,457,352,-324,-84,-44,-5251,10063,-2910,512,503,499,468,473,506,344,244,80,3880,-6005,-2308
508,510,509,509,465,347,-132,28,284,-826,9854,-2812,512,505,502,465,460,507,-348,152,-52,5318,-8622,-5877
509,510,509,509,450,363,-24,-116,-104,-213,16300,-5978,510,510,505,469,457,509,-396,144,-140,382,-14819,-8143
504,510,509,507,486,424,152,428,4,8325,1,4339,500,510,509,469,456,503,1020,-348,196,1197,-12274,425
508,509,509,506,478,445,-536,-388,452,-1866,-6325,-2524,469,499,502,466,454,495,320,-64,316,1148,-4519,-6295
509,510,509,508,480,408,-92,-108,144,1965,5915,7949,498,502,496,469,470,505,220,60,400,-3589,-3685,3234
509,510,509,507,490,327,-228,-136,36,4386,2813,4564,503,505,496,468,470,505,376,716,108,-333,-4530,732
509,510,509,507,487,331,-164,-276,172,3453,2716,-7840,479,503,498,465,467,499,548,-176,176,-1547,-3134,484
509,509,509,509,469,356,-188,20,-168,3997,4090,-3517,469,502,495,468,456,492,452,388,92,-1805,-3475,2185
509,510,509,509,465,361,20,-80,-60,5345,-1156,670,418,497,497,462,458,490,704,-512,92,-3234,-1515,5403
509,510,509,506,463,351,-600,-340,-160,1885,-5254,1941,483,511,504,469,476,507,640,48,128,-3303,-2697,5427
509,510,509,509,465,364,-172,-56,168,1336,-4723,-8482,510,510,504,469,471,509,48,192,76,-2220,-1768,3363
509,510,509,509,465,370,-128,-216,240,4612,1248,5478,494,499,494,461,473,502,268,56,68,-2739,871,317
509,510,509,509,463,370,-256,-124,20,2664,3782,3793,483,499,490,463,456,491,404,-384,120,-2698,-1092,2325
509,510,509,509,467,367,-284,-144,196,3391,-1117,87,479,499,489,464,429,490,464,-84,-52,-2580,-80,1836
509,510,509,509,467,367,-76,-168,96,4360,-1449,2641,473,497,488,460,384,486,444,-716,-168,-2675,-1309,3369
509,510,509,509,464,358,-356,-36,384,4859,-3129,967,494,500,489,456,421,498,-8,312,76,-2889,2347,3972
509,510,509,509,462,362,-116,-120,-132,3520,-4377,1736,493,498,489,460,417,502,152,-92,116,-4401,5300,5288
507,510,509,510,449,361,-260,-320,216,4567,-9002,-373,509,506,494,460,461,501,240,76,188,-2067,1570,2348
509,510,509,509,452,365,-284,-68,88,2977,-1604,949,511,505,495,459,458,500,380,60,100,-4377,5906,5088
507,510,509,509,443,362,-176,-100,324,5490,-12243,2140,512,505,497,458,461,503,260,76,328,-1987,6629,5388
499,510,509,509,427,387,-352,-68,132,-989,-5652,-3780,512,508,501,461,475,505,160,68,100,3176,6820,3739
496,510,509,509,432,411,28,-272,-108,833,-7991,3157,512,508,502,457,470,507,60,-576,-172,3474,6690,7955
495,510,509,510,442,407,-104,160,264,-470,-6326,7431,512,505,501,455,458,496,220,-184,-476,4571,6282,5790
475,510,509,509,428,402,-460,48,12,359,-3287,1940,510,498,499,456,460,491,-124,-160,-336,1801,1747,-2497
462,510,509,509,444,403,-136,-80,20,4331,-695,7412,512,504,502,458,463,494,-92,308,116,-1768,2786,268
496,510,509,509,439,388,-216,-244,80,-1610,-2122,-3332,513,504,502,457,462,494,-60,196,212,456,2975,723
505,510,509,509,448,388,-264,-176,380,1298,-4730,3498,513,506,501,457,457,504,316,68,156,1760,309,2413
506,510,509,509,457,378,-188,-148,60,-1759,1179,5105,513,507,500,458,457,504,360,-84,260,2056,-215,1578
504,510,509,509,462,365,-408,-60,180,-1855,-989,-186,513,507,503,457,457,505,228,-4,136,1136,-455,759
