Ball_of_foot_PMmax,Bridge_PMmax,Heel_PMmax,Calf_PMmax,Inner_shin_PMmax,Outer_shin_PMmax,ax_Mmax,ay_Mmax,az_Mmax,gx_Mmax,gy_Mmax,gz_Mmax,Ball_of_foot_PSmax,Bridge_PSmax,Heel_PSmax,Calf_PSmax,Inner_shin_PSmax,Outer_shin_PSmax,ax_Smax,ay_Smax,az_Smax,gx_Smax,gy_Smax,gz_Smax,Ball_of_foot_PMmean,Bridge_PMmean,Heel_PMmean,Calf_PMmean,Inner_shin_PMmean,Outer_shin_PMmean,ax_Mmean,ay_Mmean,az_Mmean,gx_Mmean,gy_Mmean,gz_Mmean,Ball_of_foot_PSmean,Bridge_PSmean,Heel_PSmean,Calf_PSmean,Inner_shin_PSmean,Outer_shin_PSmean,ax_Smean,ay_Smean,az_Smean,gx_Smean,gy_Smean,gz_Smean,Ball_of_foot_PMmin,Bridge_PMmin,Heel_PMmin,Calf_PMmin,Inner_shin_PMmin,Outer_shin_PMmin,ax_Mmin,ay_Mmin,az_Mmin,gx_Mmin,gy_Mmin,gz_Mmin,Ball_of_foot_PSmin,Bridge_PSmin,Heel_PSmin,Calf_PSmin,Inner_shin_PSmin,Outer_shin_PSmin,ax_Smin,ay_Smin,az_Smin,gx_Smin,gy_Smin,gz_Smin,Ball_of_foot_PMstd,Bridge_PMstd,Heel_PMstd,Calf_PMstd,Inner_shin_PMstd,Outer_shin_PMstd,ax_Mstd,ay_Mstd,az_Mstd,gx_Mstd,gy_Mstd,gz_Mstd,Ball_of_foot_PSstd,Bridge_PSstd,Heel_PSstd,Calf_PSstd,Inner_shin_PSstd,Outer_shin_PSstd,ax_Sstd,ay_Sstd,az_Sstd,gx_Sstd,gy_Sstd,gz_Sstd
506,509,456,510,478,294,392,168,12,605,218,217,441,511,504,511,475,511,244,236,80,604,728,2474,494.5333333,505,390.8,510,477.7333333,268.4666667,254.9333333,60.53333333,-17.33333333,191.6,-354.2666667,127.6,436.3333333,510.4666667,452.6,511,439.2,511,195.2,53.86666667,-9.6,-600.2,-7.266666667,436.2666667,486,503,232,510,477,260,200,-20,-48,-1964,-1758,52,433,510,414,511,429,511,-36,0,-60,-6151,-990,-49,6.053832579,1.591644852,61.34514379,0,0.442216639,8.987893091,50.14042503,41.97438372,16.11072796,587.5262037,538.0388421,44.27008019,2.547329757,0.498887652,21.98726904,0,12.19945354,0,68.43313038,53.16373033,38.52756589,1652.927835,402.7403575,635.9973235
505,510,488,510,485,314,416,236,148,3246,4333,2942,465,511,508,511,438,511,388,232,108,277,3172,3974,470.7142857,508,357.9285714,509.8571429,480.8571429,284.1428571,255.7142857,41.71428571,-10.85714286,-884.3571429,-29.42857143,651.7857143,445.0714286,510.9285714,473.6428571,511,425.7857143,511,241.7142857,13.14285714,26,-2147.357143,-469.6428571,567.8571429,414,498,130,509,478,262,-40,-116,-168,-4577,-3541,-535,432,510,378,511,403,511,128,-148,-32,-7804,-3909,-2056,36.82861576,3.380617019,108.7083019,0.349927106,1.921946292,15.10372302,103.5094396,105.9456927,86.59169965,1824.509508,2164.237831,860.5967347,12.99155927,0.257539377,38.03308173,0,11.21337576,0,70.55233981,93.01832165,44.76605857,2370.556101,2006.825411,1626.329208
481,510,415,510,481,363,828,548,464,2225,7797,6643,469,511,509,511,461,511,784,216,176,3163,6540,6611,438.4666667,508,201.0666667,510,477.2666667,308,284,92,77.33333333,-794.3333333,-1779.533333,878.5333333,458.0666667,510.8666667,488.1333333,511,435.4666667,510.8,268.8,4.266666667,-1.6,-386.4,-828.1333333,-110.3333333,408,502,26,510,470,287,-276,-488,-564,-5903,-7340,-373,431,510,408,511,424,509,-80,-192,-736,-5613,-7483,-5249,22.44063774,2.19089023,123.0400838,0,3.021405118,19.36663798,264.0202012,251.65479,238.2678232,2104.717326,3475.365801,1781.074053,14.04500702,0.339934634,31.95176921,0,9.06176338,0.54160256,197.0405035,113.9119348,211.2555483,2353.356293,4293.770121,3533.085972
507,510,415,510,478,347,984,392,364,11178,7595,2261,468,511,495,511,428,511,696,344,116,4898,4117,10574,461.5,508.7142857,236.7857143,509.8571429,476.2142857,314.7857143,245.7142857,68.28571429,-10.28571429,607.7857143,1360.857143,975.7857143,446.8571429,511,477.5,511,411,511,268,28.28571429,-9.428571429,99.21428571,1407.071429,2807.285714,403,505,115,509,472,268,-156,-296,-424,-5474,-2556,-2095,427,511,450,511,405,511,-352,-732,-392,-3952,-1250,-974,35.41135815,1.27775313,95.90484761,0.349927106,1.819677029,20.94952632,273.4152855,184.0898184,186.741773,4030.676178,2991.454612,1131.880999,16.28696737,0,13.40975125,0,5.656854249,0,226.5568361,236.7323469,124.3369353,2229.978257,1410.13021,2525.595274
488,510,427,510,490,335,1964,1156,1352,4534,4466,6570,468,511,482,511,434,511,420,1140,116,3235,5332,17525,451.2,509,278.2,509.9333333,483.4,297.0666667,360,167.2,120.8,-887.4,905.6666667,1360.4,451,511,446.2,511,427.5333333,511,103.2,78.4,-21.86666667,-1006,-1627.6,2684.933333,431,507,97,509,473,233,-824,-324,-968,-4874,-3883,-1104,437,511,350,511,420,511,-1068,-1276,-320,-8233,-12781,-1387,14.49689622,0.632455532,94.99908771,0.249443826,5.571355311,26.69448549,575.2365311,328.4036541,523.3251634,2387.02358,2469.009644,2046.301047,10.58300524,0,31.61687313,0,3.667272677,0,338.5276355,469.9998298,108.39795,3037.670687,4650.590053,4312.446706
501,510,426,510,489,337,1488,1028,484,5562,14099,1885,466,511,506,511,464,511,564,284,144,9783,7163,8473,473.3333333,508.8666667,292.7333333,509.8,484.3333333,285.5333333,404,193.0666667,-34.66666667,1217,1744.466667,234.3333333,440.4666667,510.4666667,476.5333333,511,432.6,511,224.2666667,9.866666667,-9.066666667,1313.066667,1152.066667,1714.6,428,505,12,509,480,230,-16,-168,-512,-3287,-4214,-2393,426,509,398,511,421,511,0,-304,-500,-3687,-5854,-6781,24.42039221,1.257864151,119.636375,0.4,3.259175083,36.64399299,373.2380831,293.8823952,228.3607283,2308.557414,5029.526696,1030.931855,14.10846869,0.618241233,32.52458899,0,11.40643093,0,169.2743204,152.1393513,152.0734326,3627.616784,4192.407112,4469.63961
507,510,497,510,484,265,428,184,228,4996,6546,2270,435,511,491,511,449,511,396,276,124,7167,6368,4726,492.6428571,509.0714286,442.8571429,510,482.4285714,241.9285714,214.5714286,63.14285714,-55.42857143,1030.142857,2693.571429,37.71428571,428.9285714,510.3571429,465.7142857,511,433.5,511,186.2857143,71.14285714,-8,1368.357143,1720.928571,1978.571429,466,509,365,510,480,200,-136,-80,-188,-1572,-946,-1678,423,509,421,511,420,511,68,-196,-284,-2194,-2156,-759,12.43616353,0.257539377,40.62345758,0,1.178030179,18.40599392,132.8423955,87.18031982,106.3241098,2160.242177,2742.547114,1201.743996,4.949232058,0.610285982,18.46397485,0,7.519023493,0,96.15124141,112.4600609,115.4469575,3234.214557,2248.823644,1702.360576
440,509,484,510,484,261,444,284,356,1190,31,787,463,511,508,511,460,511,356,292,224,5702,3708,633,410.6,508.2666667,376.7333333,509.9333333,480.5333333,243.0666667,216.2666667,39.73333333,8.266666667,-231,-1442.6,174.1333333,442.2,510.4666667,495.8666667,511,440.0666667,511,166.4,20.26666667,38.66666667,-1183.2,-1796.666667,-1456.933333,401,506,287,509,479,232,52,-232,-584,-1948,-2663,-607,432,510,486,511,429,511,-108,-192,-148,-3852,-8355,-4692,9.343803651,0.853749898,51.79892749,0.249443826,1.257864151,8.053708601,123.8361642,122.9891413,199.6768946,749.3016304,720.0013704,444.3453412,9.360911637,0.498887652,6.206090199,0,8.433794454,0,128.4475509,99.52920286,98.42131657,2419.139357,3076.109115,1875.73756
455,509,418,510,486,287,1888,1112,844,679,3881,4441,466,511,488,511,442,512,776,220,188,2017,7017,7949,419.6428571,508.2857143,320.0714286,509.8571429,482.5714286,265.1428571,286,154,64.85714286,-1860.214286,-782.7142857,1224,459.2857143,510.7857143,453.6428571,511,438.3571429,511,255.4285714,16.28571429,-7.714285714,-1118.428571,101.0714286,1250.857143,395,506,249,509,480,252,-576,-448,-672,-9920,-4880,-1973,451,510,392,511,434,510,-304,-160,-144,-4133,-2453,-1321,18.61875837,1.097306535,46.10463919,0.349927106,2.258769757,10.44616911,630.699838,406.3207741,391.8226379,2635.127272,2337.368497,1369.453593,5.188291371,0.410325903,32.47330144,0,2.124924969,0.377964473,253.9014753,118.1520984,101.0964381,1872.975277,2842.126077,2466.440751
467,509,427,510,487,334,2040,992,768,3751,5400,6115,465,511,499,511,442,511,768,276,304,2277,11228,3826,430.4666667,507.8666667,312,509.8,478.4,277.6666667,369.0666667,46.66666667,-40,-1962,-933.2666667,1364.6,457.2,510.8666667,463,511,430.2666667,511,290.9333333,29.6,28.8,-2456.666667,-923.1333333,734.7333333,391,504,142,509,464,203,-748,-1988,-956,-11102,-7657,-1894,448,510,410,511,420,511,40,-256,-188,-15009,-8443,-4633,22.23170909,1.5860503,91.04943712,0.4,5.364078051,36.88842035,673.2012544,721.1630113,482.931051,3603.513138,3556.385046,2170.119284,4.504812242,0.339934634,24.01943657,0,6.201791856,0,200.0771407,172.9172442,138.1956102,4685.328828,4930.18612,2194.914864
