Ball of foot m,Bridge m,Heel m,Calf m,Inner shin m,Outer shin m,acc x m,acc y m,acc z m,gyro x m,gyro y m,gyro z m,Ball of foot s,Bridge s,Heel s,Calf s,Inner shin s,Outer shin s,acc x s,acc y s,acc z s,gyro x s,gyro y s,gyro z s
508,485.82,352.51,486.63,216.24,269.03,234.63,94.514,-46.592,-342.06,361.57,-110.86,490.64,487.66,501.7,429.77,91.723,419.53,311.57,-27.238,-154.1,264.96,484.43,354.2
507.96,485.87,348.36,486.87,216.21,268.89,251.59,101.78,-66.248,-237.56,243.09,-328.85,489.75,487.87,501.76,430.16,92.639,416.99,305.05,-11.149,-149.82,281.74,442.92,278.91
507.94,485.88,344.51,487.11,216.15,268.75,269.3,107.92,-75.271,-160.24,98.808,-510.06,488.6,488.03,501.83,430.53,93.397,414.22,293.78,10.129,-143.54,340.35,359.13,151.09
507.93,485.83,341.04,487.35,216.08,268.61,285.03,113,-72.265,-119.98,-45.656,-628.19,487.22,488.16,501.9,430.9,93.988,411.27,278.44,30.245,-137.19,437.25,249.18,-7.0302
507.96,485.69,338,487.58,215.99,268.48,296.57,117.17,-58.819,-115.59,-165.84,-673.68,485.61,488.25,501.99,431.25,94.407,408.16,261.12,44.198,-132.06,556.52,134.01,-168.23
508.02,485.47,335.46,487.81,215.89,268.34,302.48,120.28,-38.9,-134.68,-244.16,-652.88,483.82,488.3,502.07,431.6,94.653,404.93,244.93,49.329,-128.17,674.29,34.291,-305.69
508.13,485.14,333.45,488.03,215.78,268.2,302.29,121.71,-17.599,-157.18,-273.67,-583.77,481.87,488.31,502.16,431.93,94.732,401.63,233.01,45.683,-124.45,765.32,-33.979,-398.26
508.28,484.7,332,488.23,215.68,268.07,296.49,120.7,0.34113,-161.55,-259.04,-489.81,479.79,488.29,502.26,432.25,94.654,398.3,227.15,35.73,-119.4,809.89,-62.459,-434.02
508.49,484.13,331.14,488.42,215.58,267.93,286.34,116.89,11.731,-131.73,-214.78,-393.68,477.63,488.24,502.35,432.57,94.431,394.97,226.97,23.527,-112.06,798.73,-51.595,-411.42
508.76,483.43,330.86,488.6,215.48,267.79,273.51,110.7,15.493,-62.623,-161.35,-312.42,475.43,488.16,502.44,432.87,94.08,391.69,229.98,13.532,-102.69,734.73,-9.9296,-337.82
509.1,482.61,331.16,488.75,215.38,267.65,259.81,103.44,12.478,37.473,-120.16,-254.72,473.22,488.06,502.53,433.17,93.619,388.5,232.57,9.3234,-92.837,631.16,48.099,-226.25
509.5,481.65,332.02,488.89,215.3,267.5,247.03,96.998,4.771,148.17,-108.78,-220.54,471.04,487.94,502.62,433.46,93.067,385.43,231.37,12.559,-84.755,507.02,105.37,-91.452
509.96,480.57,333.43,489,215.22,267.35,236.92,93.318,-5.1219,241.5,-137.45,-202.72,468.94,487.82,502.71,433.74,92.443,382.51,224.46,22.443,-80.524,381.3,145.67,53.473
510.48,479.38,335.34,489.1,215.15,267.2,231.13,93.749,-14.849,288.66,-207.44,-190.15,466.94,487.68,502.78,434.02,91.767,379.79,211.91,35.927,-81.159,267.92,156.99,199
511.06,478.08,337.74,489.17,215.09,267.04,230.94,98.602,-22.465,267.27,-311.37,-171.45,465.09,487.55,502.85,434.3,91.059,377.28,195.74,48.642,-86.176,172.8,133.9,339.38
511.68,476.68,340.58,489.22,215.03,266.88,236.83,106.97,-26.489,167.7,-435.15,-138.69,463.42,487.43,502.92,434.57,90.337,375.01,179.35,56.322,-93.704,93.966,78.44,471.37
512.34,475.21,343.81,489.25,214.98,266.72,247.92,116.95,-25.981,-3.0156,-560.78,-90.018,461.95,487.31,502.97,434.84,89.617,373,166.54,56.262,-101.03,24.326,-0.52527,592.21
513.03,473.68,347.39,489.25,214.93,266.56,261.84,126.07,-20.722,-220.73,-669.43,-30.894,460.72,487.22,503.01,435.1,88.917,371.26,160.45,48.305,-105.37,-43.885,-89.421,697.69
513.72,472.11,351.29,489.24,214.89,266.39,275.04,131.96,-11.419,-447.51,-744.09,26.718,459.75,487.15,503.04,435.36,88.248,369.81,162.67,34.955,-104.59,-114.54,-172.98,781.19
514.39,470.52,355.47,489.21,214.84,266.23,283.93,132.88,0.25303,-638.32,-771.53,66.913,459.05,487.1,503.06,435.62,87.625,368.65,172.8,20.54,-97.759,-184.49,-237.38,833.94
515.04,468.93,359.88,489.16,214.78,266.06,286.16,128.1,11.931,-749.96,-743.52,73.73,458.65,487.08,503.07,435.87,87.058,367.79,188.6,9.6886,-85.49,-242.88,-272.8,846.73
515.62,467.35,364.5,489.1,214.72,265.89,281.75,118.07,21.146,-750.38,-657.38,35.393,458.54,487.1,503.07,436.11,86.557,367.21,206.62,5.7071,-69.815,-273.3,-274.84,812.47
516.13,465.8,369.29,489.02,214.64,265.72,273.31,104.28,26.006,-626.19,-516.28,-52.186,458.74,487.15,503.05,436.34,86.132,366.92,223.08,9.4971,-53.737,-258.25,-244.6,728.94
516.52,464.31,374.22,488.93,214.56,265.56,265.08,89.155,25.701,-386.51,-329.28,-183.64,459.25,487.24,503.03,436.56,85.792,366.9,234.69,19.43,-40.47,-184.6,-187.88,600.98
516.78,462.87,379.28,488.83,214.45,265.4,261.16,75.625,20.61,-61.934,-111.02,-344.68,460.05,487.37,502.99,436.76,85.547,367.13,239.22,32.163,-32.594,-48.608,-113.71,441.2
516.87,461.52,384.45,488.72,214.32,265.24,263.55,66.655,12.044,301.47,119.18,-514.87,461.14,487.53,502.94,436.93,85.408,367.61,235.93,43.991,-31.389,141.22,-32.837,268.86
516.77,460.26,389.71,488.61,214.17,265.08,271.17,64.506,1.7655,651.86,339.16,-671.92,462.52,487.73,502.89,437.08,85.387,368.29,225.79,52.15,-36.553,364.27,43.713,106.9
516.45,459.09,395.04,488.49,214,264.92,280.28,69.966,-8.4923,942.57,526.77,-796.39,464.15,487.97,502.82,437.19,85.5,369.17,211.54,55.624,-46.419,591.31,105.84,-22.502
515.89,458.01,400.44,488.37,213.79,264.77,286.15,81.825,-17.347,1141.5,663.31,-875.44,466.02,488.24,502.75,437.27,85.764,370.2,197.27,55.273,-58.551,790.43,145.59,-102.72
515.07,457.05,405.88,488.24,213.56,264.63,285.26,96.93,-23.881,1236.4,736.96,-904.74,468.11,488.54,502.68,437.3,86.202,371.37,187.54,53.402,-70.43,934.05,158.35,-126.61
513.96,456.18,411.37,488.12,213.3,264.49,276.78,110.96,-27.604,1234.7,745.15,-888.21,470.39,488.87,502.59,437.28,86.837,372.63,185.91,53.043,-79.931,1005,143.79,-98.477
512.55,455.4,416.87,488.01,213.01,264.35,262.89,119.77,-28.366,1159.3,695.25,-836.04,472.83,489.23,502.51,437.21,87.7,373.96,193.6,57.147,-85.484,1000.4,106.47,-33.316
510.84,454.72,422.38,487.89,212.69,264.22,247.72,120.74,-26.319,1040.2,603.31,-761.74,475.39,489.6,502.42,437.07,88.823,375.33,208.68,67.772,-86.085,931.36,55.526,46.508
508.81,454.12,427.88,487.79,212.34,264.09,235.62,113.71,-21.916,907.31,491.18,-679.19,478.05,489.99,502.33,436.87,90.245,376.69,226.47,85.293,-81.412,820.58,3.3756,116.35
506.46,453.59,433.32,487.68,211.96,263.97,229.57,100.98,-15.946,784.1,382.49,-600.47,480.77,490.4,502.24,436.6,92.005,378.01,240.98,107.84,-72.144,696.43,-36.477,154.96
503.81,453.12,438.69,487.59,211.55,263.85,230.33,86.491,-9.4883,685.01,298.53,-534.64,483.51,490.82,502.16,436.25,94.147,379.28,247.03,131.34,-60.248,586.73,-52.342,149.3
500.85,452.69,443.95,487.51,211.11,263.73,236.53,74.37,-3.7498,615.55,254.61,-487.41,486.25,491.24,502.07,435.83,96.718,380.44,242.13,150.44,-48.862,512.89,-37.338,97.612
497.62,452.31,449.06,487.43,210.65,263.62,245.37,67.555,0.23717,574.65,257.67,-461.31,488.95,491.66,502,435.32,99.763,381.48,227.37,160.27,-41.52,486,8.2357,9.8422
494.13,451.94,453.96,487.37,210.17,263.51,253.65,66.859,1.9491,557.65,305.32,-456.08,491.58,492.08,501.92,434.74,103.33,382.37,207.01,158.31,-40.933,505.39,75.881,-94.421
490.41,451.58,458.6,487.31,209.67,263.4,258.64,70.898,1.5689,558.92,386.61,-469,494.1,492.49,501.86,434.07,107.46,383.09,186.95,145.34,-47.875,560.01,149.82,-190.26
486.51,451.22,462.93,487.26,209.16,263.3,258.53,76.896,-0.1032,573.58,484.3,-495.32,496.49,492.9,501.8,433.32,112.21,383.61,172.83,125.04,-60.788,632,210,-253.06
482.46,450.85,466.89,487.23,208.63,263.19,252.55,82.034,-2.0353,598.35,578.53,-528.91,498.73,493.29,501.75,432.5,117.59,383.92,168.28,102.37,-76.346,701.87,236.85,-264.39
478.31,450.46,470.41,487.2,208.1,263.09,240.98,84.787,-3.4889,632.17,651.15,-563.15,500.79,493.67,501.71,431.6,123.65,384.01,174.13,81.49,-90.728,754.18,216.81,-217.11
474.11,450.05,473.44,487.18,207.56,262.99,224.97,85.664,-4.4347,676.75,690.17,-592.16,502.65,494.03,501.68,430.63,130.41,383.86,188.45,64.486,-100.99,782.52,147.3,-118.39
469.92,449.61,475.9,487.18,207.02,262.89,206.53,87.003,-5.6482,737.39,693.21,-612.03,504.28,494.37,501.65,429.61,137.87,383.49,207.49,51.181,-105.91,792.73,39.944,9.7316
465.8,449.14,477.74,487.18,206.48,262.79,188.41,91.846,-8.4244,823.45,669.2,-621.68,505.69,494.68,501.64,428.53,146.03,382.88,226.92,40.024,-106,803.32,-79.216,133.14
461.79,448.65,478.9,487.19,205.95,262.69,173.78,102.33,-14.026,948.04,637.52,-623.02,506.86,494.98,501.64,427.41,154.89,382.04,243.07,29.408,-102.69,842.67,-172.95,211.18
457.96,448.14,479.33,487.21,205.43,262.59,165.6,118.26,-23.112,1126,624.45,-620.18,507.78,495.25,501.65,426.26,164.41,380.98,253.72,18.754,-97.341,943.21,-199.37,204.51
454.37,447.62,478.99,487.23,204.92,262.49,165.77,136.43,-35.4,1370.5,657.34,-617.92,508.45,495.49,501.66,425.09,174.54,379.72,258.51,8.8972,-90.46,1133.7,-120.73,83.786
451.07,447.11,477.83,487.26,204.43,262.39,174.4,151.07,-49.719,1688.1,757.79,-619.82,508.86,495.7,501.69,423.91,185.24,378.26,258.68,1.7314,-81.707,1431,87.149,-162.59
448.12,446.61,475.82,487.3,203.95,262.29,189.43,155.44,-64.383,2074.3,935.49,-626.68,509.03,495.89,501.72,422.74,196.42,376.64,256.52,-0.62379,-70.609,1833.8,427.07,-523.26
